frame.time_epoch,ip.src,ip.dst,ip.len
"1628092818.556567000","10.0.0.2","10.0.0.10","311"
"1628092819.558633000","10.0.0.2","10.0.0.10","311"
"1628092820.560166000","10.0.0.2","10.0.0.10","311"
"1628092821.560745000","10.0.0.2","10.0.0.10","311"
"1628092822.563472000","10.0.0.2","10.0.0.10","311"
"1628092823.564946000","10.0.0.2","10.0.0.10","311"
"1628092824.565519000","10.0.0.2","10.0.0.10","311"
"1628092825.566235000","10.0.0.2","10.0.0.10","311"
"1628092826.566737000","10.0.0.2","10.0.0.10","311"
"1628092827.567154000","10.0.0.2","10.0.0.10","311"
"1628092828.567768000","10.0.0.2","10.0.0.10","311"
"1628092829.568225000","10.0.0.2","10.0.0.10","311"
"1628092830.569463000","10.0.0.2","10.0.0.10","311"
"1628092831.582648000","10.0.0.2","10.0.0.10","311"
"1628092832.586815000","10.0.1.2","10.0.0.10","311"
"1628092833.588985000","10.0.1.2","10.0.0.10","311"
"1628092834.590244000","10.0.1.2","10.0.0.10","311"
"1628092835.593319000","10.0.1.2","10.0.0.10","311"
"1628092836.593855000","10.0.1.2","10.0.0.10","311"
"1628092837.594526000","10.0.1.2","10.0.0.10","311"
"1628092838.594830000","10.0.1.2","10.0.0.10","311"
"1628092839.598225000","10.0.1.2","10.0.0.10","311"
"1628092840.599909000","10.0.1.2","10.0.0.10","311"
"1628092841.600950000","10.0.1.2","10.0.0.10","311"
"1628092842.602802000","10.0.1.2","10.0.0.10","311"
"1628092843.605372000","10.0.1.2","10.0.0.10","311"
"1628092844.606756000","10.0.1.2","10.0.0.10","311"
"1628092845.607764000","10.0.1.2","10.0.0.10","311"
"1628092846.608529000","10.0.1.2","10.0.0.10","311"
"1628092847.615618000","10.0.1.2","10.0.0.10","311"
"1628092848.622310000","10.0.1.2","10.0.0.10","311"
"1628092849.624618000","10.0.1.2","10.0.0.10","311"
"1628092850.627324000","10.0.1.2","10.0.0.10","311"
"1628092851.631948000","10.0.1.2","10.0.0.10","311"
"1628092852.634579000","10.0.1.2","10.0.0.10","311"
"1628092853.635747000","10.0.1.2","10.0.0.10","311"
"1628092854.637521000","10.0.1.2","10.0.0.10","311"
"1628092855.639850000","10.0.1.2","10.0.0.10","311"
"1628092856.641641000","10.0.1.2","10.0.0.10","311"
"1628092857.643615000","10.0.1.2","10.0.0.10","311"
"1628092858.644937000","10.0.1.2","10.0.0.10","311"
"1628092859.647402000","10.0.1.2","10.0.0.10","311"
"1628092860.648681000","10.0.1.2","10.0.0.10","311"
"1628092861.649547000","10.0.1.2","10.0.0.10","311"
"1628092862.657745000","10.0.1.2","10.0.0.10","311"
"1628092863.664233000","10.0.1.2","10.0.0.10","311"
"1628092864.668103000","10.0.1.2","10.0.0.10","311"
"1628092865.673991000","10.0.1.2","10.0.0.10","311"
"1628092866.691040000","10.0.1.2","10.0.0.10","311"
"1628092867.699549000","10.0.1.2","10.0.0.10","311"
"1628092868.708110000","10.0.1.2","10.0.0.10","311"
"1628092869.715035000","10.0.1.2","10.0.0.10","311"
"1628092870.719344000","10.0.1.2","10.0.0.10","311"
"1628092871.723289000","10.0.1.2","10.0.0.10","311"
"1628092872.728655000","10.0.1.2","10.0.0.10","311"
"1628092873.732378000","10.0.1.2","10.0.0.10","311"
"1628092874.736689000","10.0.1.2","10.0.0.10","311"
"1628092875.740178000","10.0.1.2","10.0.0.10","311"
"1628092876.742454000","10.0.1.2","10.0.0.10","311"
"1628092877.743837000","10.0.1.2","10.0.0.10","311"
"1628092878.747100000","10.0.1.2","10.0.0.10","311"
